step_i,time_ms,volume_mL
466,469.640625,27.851590
467,470.648438,27.945611
468,471.656250,28.038442
469,472.664062,28.129965
470,473.671875,28.220060
471,474.679688,28.308608
472,475.687500,28.395488
473,476.695312,28.480581
474,477.703125,28.563763
475,478.710938,28.644912
476,479.718750,28.723907
477,480.726562,28.800623
478,481.734375,28.874937
479,482.742188,28.946725
480,483.750000,29.015863
481,484.757812,29.083252
482,485.765625,29.149882
483,486.773438,29.215759
484,487.781250,29.280891
485,488.789062,29.345286
486,489.796875,29.408951
487,490.804688,29.471893
488,491.812500,29.534121
489,492.820312,29.595643
490,493.828125,29.656465
491,494.835938,29.716597
492,495.843750,29.776046
493,496.851562,29.834820
494,497.859375,29.892928
495,498.867188,29.950379
496,499.875000,30.007180
497,500.882812,30.063340
498,501.890625,30.118869
499,502.898438,30.173773
500,503.906250,30.228062
501,504.914062,30.281746
502,505.921875,30.334832
503,506.929688,30.387330
504,507.937500,30.439248
505,508.945312,30.490596
506,509.953125,30.541383
507,510.960938,30.591617
508,511.968750,30.641308
509,512.976562,30.690465
510,513.984375,30.739098
511,514.992188,30.787214
512,516.000000,30.834825
513,517.007812,30.881938
514,518.015625,30.928564
515,519.023438,30.974711
516,520.031250,31.020388
517,521.039062,31.065606
518,522.046875,31.110372
519,523.054688,31.154697
520,524.062500,31.198590
521,525.070312,31.242059
522,526.078125,31.285114
523,527.085938,31.327764
524,528.093750,31.370018
525,529.101562,31.411884
526,530.109375,31.453373
527,531.117188,31.494492
528,532.125000,31.535250
529,533.132812,31.576131
530,534.140625,31.617596
531,535.148438,31.659622
532,536.156250,31.702188
533,537.164062,31.745269
534,538.171875,31.788845
535,539.179688,31.832890
536,540.187500,31.877383
537,541.195312,31.922299
538,542.203125,31.967615
539,543.210938,32.013307
540,544.218750,32.059351
541,545.226562,32.105723
542,546.234375,32.152398
543,547.242188,32.199351
544,548.250000,32.246558
545,549.257812,32.293993
546,550.265625,32.341631
547,551.273438,32.389446
548,552.281250,32.437413
549,553.289062,32.485504
550,554.296875,32.533694
551,555.304688,32.581957
552,556.312500,32.630264
553,557.320312,32.678589
554,558.328125,32.726904
555,559.335938,32.775183
556,560.343750,32.823396
557,561.351562,32.871516
558,562.359375,32.919514
559,563.367188,32.967362
560,564.375000,33.015031
561,565.382812,33.062491
562,566.390625,33.109714
563,567.398438,33.156670
564,568.406250,33.203329
565,569.414062,33.249661
566,570.421875,33.295636
567,571.429688,33.341223
568,572.437500,33.386393
569,573.445312,33.431115
570,574.453125,33.475357
571,575.460938,33.519088
572,576.468750,33.562278
573,577.476562,33.604895
574,578.484375,33.646908
575,579.492188,33.688285
576,580.500000,33.728995
577,581.507812,33.770179
578,582.515625,33.812953
579,583.523438,33.857242
580,584.531250,33.902973
581,585.539062,33.950074
582,586.546875,33.998469
583,587.554688,34.048086
584,588.562500,34.098847
585,589.570312,34.150680
586,590.578125,34.203509
587,591.585938,34.257257
588,592.593750,34.311849
589,593.601562,34.367208
590,594.609375,34.423258
591,595.617188,34.479921
592,596.625000,34.537119
593,597.632812,34.594775
594,598.640625,34.652810
595,599.648438,34.711146
596,600.656250,34.769702
597,601.664062,34.828400
598,602.671875,34.887160
599,603.679688,34.945900
600,604.687500,35.004541
601,605.695312,35.063001
602,606.703125,35.121199
603,607.710938,35.179053
604,608.718750,35.236480
605,609.726562,35.293397
606,610.734375,35.349723
607,611.742188,35.405373
608,612.750000,35.460264
609,613.757812,35.514311
610,614.765625,35.567431
611,615.773438,35.619538
612,616.781250,35.670549
613,617.789062,35.720376
614,618.796875,35.768935
615,619.804688,35.816140
616,620.812500,35.861905
617,621.820312,35.906144
618,622.828125,35.948769
619,623.835938,35.989695
620,624.843750,36.028835
621,625.851562,36.066100
622,626.859375,36.101405
623,627.867188,36.134661
624,628.875000,36.165782
625,629.882812,36.195494
626,630.890625,36.224605
627,631.898438,36.253150
628,632.906250,36.281164
629,633.914062,36.308680
630,634.921875,36.335734
631,635.929688,36.362360
632,636.937500,36.388594
633,637.945312,36.414470
634,638.953125,36.440023
635,639.960938,36.465288
636,640.968750,36.490301
637,641.976562,36.515097
638,642.984375,36.539711
639,643.992188,36.564177
640,645.000000,36.588533
641,646.007812,36.612812
642,647.015625,36.637050
643,648.023438,36.661283
644,649.031250,36.685545
645,650.039062,36.709872
646,651.046875,36.734300
647,652.054688,36.758863
648,653.062500,36.783598
649,654.070312,36.808538
650,655.078125,36.833721
651,656.085938,36.859180
652,657.093750,36.884952
653,658.101562,36.911071
654,659.109375,36.937573
655,660.117188,36.964494
656,661.125000,36.991867
657,662.132812,37.019730
658,663.140625,37.048117
659,664.148438,37.077063
660,665.156250,37.106605
661,666.164062,37.136777
662,667.171875,37.167614
663,668.179688,37.199153
664,669.187500,37.231429
665,670.195312,37.264477
666,671.203125,37.298334
667,672.210938,37.333034
668,673.218750,37.368615
669,674.226562,37.405111
670,675.234375,37.442560
671,676.242188,37.480996
672,677.250000,37.520458
673,678.257812,37.561675
674,679.265625,37.605297
675,680.273438,37.651237
676,681.281250,37.699408
677,682.289062,37.749723
678,683.296875,37.802095
679,684.304688,37.856438
680,685.312500,37.912665
681,686.320312,37.970688
682,687.328125,38.030420
683,688.335938,38.091774
684,689.343750,38.154661
685,690.351562,38.218993
686,691.359375,38.284683
687,692.367188,38.351640
688,693.375000,38.419775
689,694.382812,38.489000
690,695.390625,38.559222
691,696.398438,38.630352
692,697.406250,38.702299
693,698.414062,38.774970
694,699.421875,38.848273
695,700.429688,38.922116
696,701.437500,38.996404
697,702.445312,39.071044
698,703.453125,39.145941
699,704.460938,39.221000
700,705.468750,39.296125
701,706.476562,39.371221
702,707.484375,39.446189
703,708.492188,39.520933
704,709.500000,39.595355
705,710.507812,39.669357
706,711.515625,39.742839
707,712.523438,39.815702
708,713.531250,39.887846
709,714.539062,39.959170
710,715.546875,40.029575
711,716.554688,40.098959
712,717.562500,40.167221
713,718.570312,40.234258
714,719.578125,40.299969
715,720.585938,40.364251
716,721.593750,40.427003
717,722.601562,40.488122
718,723.609375,40.547505
719,724.617188,40.605049
720,725.625000,40.660653
721,726.632812,40.716758
722,727.640625,40.775770
723,728.648438,40.837529
724,729.656250,40.901874
725,730.664062,40.968644
726,731.671875,41.037679
727,732.679688,41.108817
728,733.687500,41.181895
729,734.695312,41.256750
730,735.703125,41.333218
731,736.710938,41.411133
732,737.718750,41.490329
733,738.726562,41.570638
734,739.734375,41.651892
735,740.742188,41.733921
736,741.750000,41.816553
737,742.757812,41.899616
738,743.765625,41.982936
739,744.773438,42.066336
740,745.781250,42.149642
741,746.789062,42.232674
742,747.796875,42.315252
743,748.804688,42.397196
744,749.812500,42.478324
745,750.820312,42.558451
746,751.828125,42.637393
747,752.835938,42.714963
748,753.843750,42.790974
749,754.851562,42.865238
750,755.859375,42.937563
751,756.867188,43.007761
752,757.875000,43.075639
753,758.882812,43.141004
754,759.890625,43.203663
755,760.898438,43.263424
756,761.906250,43.320090
757,762.914062,43.373468
758,763.921875,43.423363
759,764.929688,43.469579
760,765.937500,43.511922
761,766.945312,43.550197
762,767.953125,43.584210
763,768.960938,43.613768
764,769.968750,43.638676
765,770.976562,43.658744
766,771.984375,43.673780
767,772.992188,43.683595
768,774.000000,43.688002
